,Año,Trimestre,Provincia,Accesos por cada 100 hab
695,2015,3,Tucumán,9
696,2015,2,Buenos Aires,17
697,2015,2,Capital Federal,44
698,2015,2,Catamarca,6
699,2015,2,Chaco,7
700,2015,2,Chubut,11
701,2015,2,Córdoba,17
702,2015,2,Corrientes,8
703,2015,2,Entre Ríos,13
704,2015,2,Formosa,5
705,2015,2,Jujuy,5
706,2015,2,La Pampa,19
707,2015,2,La Rioja,4
708,2015,2,Mendoza,9
709,2015,2,Misiones,7
710,2015,2,Neuquén,16
711,2015,2,Río Negro,14
712,2015,2,Salta,7
713,2015,2,San Juan,7
714,2015,2,San Luis,3
715,2015,2,Santa Cruz,8
716,2015,2,Santa Fe,16
717,2015,2,Santiago Del Estero,4
718,2015,2,Tierra Del Fuego,22
719,2015,2,Tucumán,9
720,2015,1,Buenos Aires,17
721,2015,1,Capital Federal,44
722,2015,1,Catamarca,6
723,2015,1,Chaco,7
724,2015,1,Chubut,12
725,2015,1,Córdoba,17
726,2015,1,Corrientes,8
727,2015,1,Entre Ríos,13
728,2015,1,Formosa,5
729,2015,1,Jujuy,5
730,2015,1,La Pampa,18
731,2015,1,La Rioja,4
732,2015,1,Mendoza,9
733,2015,1,Misiones,7
734,2015,1,Neuquén,16
735,2015,1,Río Negro,14
736,2015,1,Salta,7
737,2015,1,San Juan,7
738,2015,1,San Luis,3
739,2015,1,Santa Cruz,8
740,2015,1,Santa Fe,16
741,2015,1,Santiago Del Estero,4
742,2015,1,Tierra Del Fuego,22
743,2015,1,Tucumán,9
744,2014,4,Buenos Aires,17
745,2014,4,Capital Federal,44
746,2014,4,Catamarca,6
747,2014,4,Chaco,6
748,2014,4,Chubut,12
749,2014,4,Córdoba,17
750,2014,4,Corrientes,6
751,2014,4,Entre Ríos,11
752,2014,4,Formosa,5
753,2014,4,Jujuy,5
754,2014,4,La Pampa,17
755,2014,4,La Rioja,4
756,2014,4,Mendoza,9
757,2014,4,Misiones,7
758,2014,4,Neuquén,16
759,2014,4,Río Negro,14
760,2014,4,Salta,7
761,2014,4,San Juan,7
762,2014,4,San Luis,3
763,2014,4,Santa Cruz,8
764,2014,4,Santa Fe,16
765,2014,4,Santiago Del Estero,4
766,2014,4,Tierra Del Fuego,19
767,2014,4,Tucumán,9
768,2014,3,Buenos Aires,17
769,2014,3,Capital Federal,43
770,2014,3,Catamarca,6
771,2014,3,Chaco,6
772,2014,3,Chubut,12
773,2014,3,Córdoba,17
774,2014,3,Corrientes,6
775,2014,3,Entre Ríos,10
776,2014,3,Formosa,5
777,2014,3,Jujuy,5
778,2014,3,La Pampa,18
779,2014,3,La Rioja,4
780,2014,3,Mendoza,9
781,2014,3,Misiones,6
782,2014,3,Neuquén,17
783,2014,3,Río Negro,14
784,2014,3,Salta,7
785,2014,3,San Juan,7
786,2014,3,San Luis,3
787,2014,3,Santa Cruz,8
788,2014,3,Santa Fe,15
789,2014,3,Santiago Del Estero,4
790,2014,3,Tierra Del Fuego,19
791,2014,3,Tucumán,8
792,2014,2,Buenos Aires,17
793,2014,2,Capital Federal,43
794,2014,2,Catamarca,6
795,2014,2,Chaco,6
796,2014,2,Chubut,13
797,2014,2,Córdoba,16
798,2014,2,Corrientes,6
799,2014,2,Entre Ríos,10
800,2014,2,Formosa,4
801,2014,2,Jujuy,5
802,2014,2,La Pampa,16
803,2014,2,La Rioja,4
804,2014,2,Mendoza,9
805,2014,2,Misiones,6
806,2014,2,Neuquén,15
807,2014,2,Río Negro,14
808,2014,2,Salta,7
809,2014,2,San Juan,7
810,2014,2,San Luis,3
811,2014,2,Santa Cruz,9
812,2014,2,Santa Fe,15
813,2014,2,Santiago Del Estero,4
814,2014,2,Tierra Del Fuego,19
815,2014,2,Tucumán,8
816,2014,1,Buenos Aires,17
817,2014,1,Capital Federal,43
818,2014,1,Catamarca,6
819,2014,1,Chaco,6
820,2014,1,Chubut,13
821,2014,1,Córdoba,16
822,2014,1,Corrientes,6
823,2014,1,Entre Ríos,10
824,2014,1,Formosa,4
825,2014,1,Jujuy,5
826,2014,1,La Pampa,16
827,2014,1,La Rioja,4
828,2014,1,Mendoza,9
829,2014,1,Misiones,6
830,2014,1,Neuquén,15
831,2014,1,Río Negro,14
832,2014,1,Salta,7
833,2014,1,San Juan,7
834,2014,1,San Luis,3
835,2014,1,Santa Cruz,9
836,2014,1,Santa Fe,15
837,2014,1,Santiago Del Estero,4
838,2014,1,Tierra Del Fuego,19
839,2014,1,Tucumán,8
